常一线产率,常二线产率,常三线产率
0.114,0.156,0.038
0.115,0.162,0.051
0.117,0.146,0.053
0.111,0.161,0.051
0.107,0.162,0.043
0.125,0.15,0.04
0.106,0.16,0.065
0.114,0.157,0.048
0.095,0.156,0.055
0.116,0.154,0.057
0.111,0.147,0.051
0.127,0.146,0.037
0.113,0.159,0.047
0.101,0.164,0.06
0.121,0.15,0.041
0.116,0.164,0.052
0.123,0.142,0.029
0.116,0.153,0.037
0.112,0.162,0.049
0.119,0.144,0.05
0.115,0.154,0.065
0.129,0.15,0.063
0.114,0.155,0.045
0.117,0.162,0.055
0.115,0.158,0.049
0.111,0.155,0.053
0.122,0.147,0.051
0.104,0.157,0.051
0.117,0.154,0.052
0.111,0.164,0.056
0.111,0.158,0.05
0.112,0.145,0.047
0.108,0.164,0.057
0.121,0.151,0.038
0.121,0.149,0.038
0.124,0.147,0.031
0.109,0.16,0.041
0.125,0.148,0.034
0.116,0.137,0.056
0.11,0.158,0.055
0.112,0.157,0.056
0.105,0.16,0.043
0.109,0.162,0.04
0.12,0.151,0.039
0.11,0.156,0.053
0.126,0.154,0.068
0.116,0.156,0.049
0.126,0.157,0.059
0.116,0.145,0.055
0.122,0.155,0.039
0.101,0.161,0.065
0.114,0.155,0.061
0.125,0.15,0.039
0.113,0.16,0.049
0.106,0.159,0.041
0.11,0.164,0.048
0.125,0.155,0.057
0.107,0.161,0.045
0.111,0.157,0.056
0.115,0.147,0.061
0.109,0.156,0.053
0.122,0.152,0.036
0.119,0.148,0.054
0.11,0.165,0.039
0.123,0.153,0.031
0.117,0.153,0.037
0.122,0.149,0.04
0.113,0.153,0.063
0.109,0.162,0.047
0.114,0.153,0.058
0.122,0.145,0.032
0.126,0.149,0.04
0.124,0.141,0.025
0.117,0.145,0.054
0.122,0.148,0.059
0.115,0.153,0.051
0.109,0.155,0.052
0.111,0.157,0.05
0.118,0.141,0.049
0.121,0.151,0.032
0.105,0.158,0.043
0.119,0.145,0.032
0.124,0.149,0.059
0.106,0.159,0.058
0.115,0.148,0.039
0.115,0.148,0.047
0.124,0.151,0.035
0.114,0.151,0.051
0.106,0.16,0.061
0.112,0.169,0.046
0.113,0.154,0.056
0.126,0.156,0.064
0.109,0.153,0.04
0.124,0.154,0.065
0.108,0.162,0.056
0.111,0.165,0.047
0.118,0.153,0.05
0.113,0.159,0.052
0.111,0.155,0.064
0.116,0.141,0.05
0.116,0.149,0.058
0.119,0.144,0.052
0.099,0.163,0.059
0.111,0.161,0.051
0.114,0.154,0.061
0.12,0.149,0.036
0.108,0.164,0.053
0.116,0.154,0.05
0.11,0.153,0.033
0.115,0.151,0.042
0.114,0.16,0.055
0.103,0.167,0.057
0.106,0.163,0.051
0.11,0.156,0.052
0.116,0.161,0.043
0.104,0.157,0.062
0.121,0.15,0.039
0.118,0.145,0.035
0.121,0.151,0.036
0.122,0.152,0.034
0.117,0.149,0.057
0.111,0.155,0.051
0.125,0.149,0.056
0.112,0.159,0.051
0.118,0.148,0.052
0.123,0.144,0.036
0.113,0.158,0.064
0.099,0.158,0.047
0.108,0.157,0.049
0.116,0.149,0.041
0.106,0.162,0.062
0.124,0.144,0.032
0.115,0.154,0.05
0.116,0.158,0.04
0.12,0.144,0.038
0.111,0.146,0.055
0.108,0.149,0.053
0.119,0.151,0.037
0.123,0.151,0.04
0.113,0.16,0.049
0.115,0.164,0.047
0.106,0.164,0.045
0.12,0.147,0.048
0.122,0.146,0.034
0.128,0.152,0.065
0.118,0.143,0.038
0.119,0.154,0.062
0.102,0.158,0.066
0.11,0.154,0.057
0.119,0.146,0.034
0.1,0.162,0.062
0.11,0.159,0.051
0.103,0.156,0.06
0.11,0.153,0.048
0.112,0.159,0.049
0.101,0.162,0.063
0.102,0.163,0.046
0.119,0.144,0.049
0.124,0.151,0.035
0.113,0.167,0.053
0.119,0.152,0.037
0.109,0.148,0.031
0.114,0.147,0.056
0.112,0.147,0.048
0.118,0.146,0.035
0.109,0.161,0.045
0.107,0.155,0.051
0.121,0.144,0.031
0.106,0.159,0.044
0.11,0.162,0.053
0.124,0.145,0.033
0.102,0.163,0.063
0.105,0.165,0.063
0.125,0.153,0.066
0.119,0.143,0.034
0.114,0.158,0.055
0.118,0.152,0.034
0.103,0.163,0.058
0.112,0.153,0.049
0.119,0.149,0.038
0.115,0.145,0.054
0.116,0.155,0.048
0.122,0.15,0.045
0.114,0.151,0.048
0.112,0.162,0.054
0.122,0.147,0.035
0.116,0.144,0.05
0.123,0.15,0.036
0.117,0.156,0.062
0.113,0.155,0.061
0.116,0.147,0.049
0.113,0.157,0.06
0.109,0.16,0.047
0.123,0.154,0.062
0.105,0.161,0.058
0.104,0.162,0.045
0.126,0.152,0.058
0.104,0.159,0.046
0.111,0.153,0.054
0.117,0.138,0.048
0.102,0.163,0.038
0.118,0.153,0.053
0.112,0.145,0.051
0.116,0.144,0.058
0.128,0.156,0.059
0.124,0.15,0.039
0.101,0.165,0.065
0.123,0.149,0.062
0.121,0.14,0.05
0.112,0.151,0.066
0.117,0.148,0.05
0.124,0.151,0.035
0.118,0.144,0.059
0.103,0.166,0.063
0.119,0.145,0.036
0.11,0.159,0.048
0.111,0.146,0.051
0.115,0.151,0.051
0.12,0.152,0.059
0.107,0.158,0.046
0.121,0.149,0.036
0.121,0.143,0.056
0.106,0.161,0.044
0.103,0.161,0.061
0.117,0.148,0.051
0.123,0.143,0.035
0.109,0.157,0.054
0.109,0.163,0.04
0.127,0.154,0.063
0.125,0.15,0.063
0.107,0.16,0.055
0.113,0.163,0.051
0.105,0.159,0.049
0.118,0.159,0.05
0.122,0.147,0.036
0.114,0.16,0.049
0.102,0.161,0.051
0.111,0.156,0.037
0.108,0.159,0.053
0.116,0.152,0.05
0.117,0.139,0.043
0.116,0.146,0.052
0.12,0.138,0.052
0.115,0.157,0.054
0.111,0.163,0.055
0.113,0.155,0.059
0.126,0.157,0.059
0.112,0.156,0.049
0.118,0.143,0.036
0.117,0.149,0.038
0.111,0.159,0.049
0.12,0.142,0.049
0.126,0.146,0.06
0.123,0.141,0.052
0.11,0.15,0.051
0.107,0.161,0.057
0.121,0.153,0.032
0.097,0.161,0.064
0.118,0.148,0.036
0.123,0.151,0.033
0.115,0.163,0.053
0.11,0.166,0.051
0.116,0.154,0.063
0.113,0.157,0.057
0.118,0.151,0.03
0.122,0.147,0.033
0.117,0.154,0.058
0.11,0.16,0.051
0.122,0.157,0.034
0.118,0.151,0.042
0.114,0.153,0.047
0.113,0.16,0.058
0.131,0.154,0.066
0.117,0.157,0.05
0.106,0.156,0.039
0.106,0.165,0.043
0.114,0.15,0.065
0.114,0.139,0.053
0.127,0.149,0.037
0.117,0.154,0.06
0.107,0.155,0.048
0.115,0.156,0.039
0.117,0.151,0.031
0.115,0.158,0.037
0.126,0.15,0.06
0.109,0.154,0.052
0.118,0.143,0.047
0.125,0.156,0.043
0.118,0.152,0.039
0.119,0.146,0.056
0.113,0.154,0.065
0.129,0.155,0.062
0.122,0.148,0.035
0.123,0.147,0.049
0.105,0.157,0.051
0.113,0.153,0.038
0.114,0.148,0.052
0.117,0.149,0.055
0.116,0.149,0.036
0.106,0.157,0.058
0.117,0.156,0.052
0.098,0.164,0.058
0.119,0.143,0.056
0.124,0.152,0.037
0.109,0.162,0.05
0.119,0.147,0.047
0.125,0.145,0.037
0.11,0.162,0.052
0.113,0.153,0.063
0.12,0.145,0.058
0.1,0.159,0.059
0.11,0.166,0.052
0.116,0.157,0.054
0.118,0.15,0.05
0.11,0.165,0.047
0.108,0.159,0.053
0.125,0.156,0.062
0.129,0.151,0.061
0.107,0.159,0.055
0.125,0.159,0.064
0.117,0.147,0.037
0.113,0.158,0.048
0.102,0.154,0.063
0.111,0.162,0.056
0.107,0.158,0.045
0.117,0.148,0.052
0.122,0.149,0.037
0.116,0.153,0.05
0.121,0.147,0.032
0.113,0.157,0.063
0.107,0.165,0.064
0.118,0.149,0.057
0.117,0.146,0.05
0.108,0.159,0.05
0.098,0.161,0.06
0.114,0.144,0.06
0.112,0.161,0.053
0.107,0.16,0.043
0.111,0.16,0.05
0.104,0.167,0.06
0.105,0.164,0.046
0.118,0.147,0.046
0.124,0.145,0.035
0.116,0.15,0.052
0.108,0.159,0.046
0.113,0.149,0.06
0.117,0.152,0.05
0.122,0.15,0.061
0.118,0.141,0.05
0.121,0.154,0.036
0.111,0.153,0.038
0.109,0.154,0.058
0.115,0.157,0.039
0.122,0.143,0.034
0.13,0.154,0.061
0.122,0.148,0.035
0.121,0.145,0.031
0.112,0.15,0.058
0.122,0.146,0.038
0.107,0.166,0.047
0.117,0.149,0.055
0.11,0.156,0.064
0.118,0.146,0.05
0.123,0.145,0.041
0.119,0.153,0.034
0.113,0.157,0.035
0.115,0.151,0.051
0.115,0.153,0.061
0.129,0.152,0.06
0.122,0.149,0.049
0.129,0.15,0.067
0.123,0.153,0.042
0.116,0.155,0.052
0.117,0.162,0.055
0.126,0.142,0.039
0.109,0.161,0.048
0.109,0.153,0.062
0.117,0.15,0.035
0.122,0.148,0.035
0.103,0.163,0.062
0.116,0.154,0.04
0.125,0.15,0.032
0.113,0.157,0.048
0.117,0.152,0.035
0.112,0.159,0.051
0.111,0.157,0.055
0.124,0.156,0.038
0.114,0.154,0.055
0.114,0.16,0.051
0.116,0.154,0.055
0.121,0.147,0.03
0.121,0.148,0.037
0.11,0.161,0.052
0.11,0.162,0.043
0.107,0.161,0.06
0.13,0.157,0.065
0.118,0.156,0.063
0.114,0.16,0.049
0.112,0.165,0.051
0.105,0.164,0.041
0.106,0.163,0.066
0.11,0.161,0.053
0.11,0.158,0.058
0.117,0.153,0.039
0.122,0.148,0.041
0.117,0.155,0.05
0.107,0.161,0.052
0.119,0.142,0.054
0.109,0.156,0.041
0.128,0.156,0.062
0.116,0.144,0.05
0.121,0.145,0.05
0.102,0.161,0.065
0.116,0.154,0.049
0.11,0.144,0.049
0.105,0.165,0.045
0.115,0.151,0.034
0.103,0.158,0.058
0.098,0.162,0.059
0.115,0.155,0.058
0.117,0.152,0.05
0.102,0.163,0.047
0.12,0.147,0.048
0.114,0.152,0.046
0.128,0.152,0.059
0.122,0.143,0.04
0.104,0.159,0.048
0.114,0.143,0.051
0.127,0.144,0.032
0.115,0.162,0.047
0.112,0.146,0.056
0.105,0.159,0.052
0.116,0.149,0.049
0.121,0.146,0.035
0.124,0.154,0.034
0.112,0.155,0.039
0.119,0.146,0.037
0.119,0.148,0.036
0.113,0.151,0.038
0.115,0.148,0.048
0.099,0.161,0.065
0.115,0.141,0.058
0.112,0.16,0.052
0.116,0.148,0.05
0.11,0.161,0.05
0.132,0.146,0.037
0.11,0.155,0.05
0.103,0.163,0.052
0.108,0.16,0.06
0.122,0.142,0.034
0.12,0.144,0.033
0.122,0.152,0.061
0.109,0.158,0.049
0.115,0.145,0.051
0.094,0.163,0.062
0.103,0.161,0.057
0.104,0.159,0.043
0.105,0.162,0.044
0.111,0.154,0.036
0.112,0.151,0.07
0.124,0.149,0.039
0.114,0.158,0.053
0.113,0.145,0.048
0.102,0.161,0.058
0.109,0.157,0.045
0.109,0.158,0.052
0.128,0.14,0.038
0.107,0.157,0.05
0.118,0.155,0.041
0.123,0.145,0.033
0.124,0.145,0.036
0.112,0.161,0.05
0.107,0.161,0.054
0.121,0.156,0.033
0.113,0.156,0.041
0.126,0.146,0.035
0.121,0.155,0.036
0.118,0.145,0.052
0.105,0.158,0.039
0.112,0.155,0.049
0.101,0.165,0.043
0.111,0.161,0.053
0.111,0.159,0.052
0.113,0.147,0.049
0.11,0.162,0.052
0.108,0.165,0.045
0.125,0.146,0.035
0.124,0.145,0.039
0.122,0.148,0.037
0.12,0.152,0.039
0.118,0.142,0.05
0.099,0.161,0.06
0.102,0.155,0.061
0.127,0.158,0.067
0.127,0.146,0.033
0.122,0.153,0.041
0.101,0.158,0.059
0.115,0.16,0.045
0.125,0.149,0.033
0.105,0.153,0.059
0.117,0.153,0.039
0.104,0.159,0.039
0.121,0.167,0.059
0.104,0.161,0.059
0.123,0.146,0.036
0.114,0.146,0.052
0.112,0.154,0.061
0.115,0.162,0.05
0.103,0.163,0.051
0.123,0.149,0.033
0.116,0.155,0.041
0.121,0.145,0.034
0.105,0.16,0.053
0.109,0.16,0.047
0.107,0.161,0.047
0.098,0.161,0.06
0.116,0.158,0.051
0.11,0.163,0.046
0.112,0.163,0.041
0.118,0.146,0.041
0.124,0.149,0.036
0.115,0.148,0.051
0.112,0.161,0.057
0.128,0.137,0.036
0.115,0.152,0.042
0.11,0.157,0.045
0.111,0.16,0.048
0.113,0.151,0.057
0.115,0.158,0.054
0.117,0.143,0.053
0.114,0.151,0.04
0.114,0.148,0.054
0.116,0.156,0.058
0.111,0.165,0.041
0.107,0.161,0.051
0.122,0.152,0.06
0.1,0.156,0.062
0.108,0.156,0.051
0.111,0.164,0.048
0.124,0.146,0.061
0.111,0.142,0.049
0.114,0.161,0.051
0.117,0.138,0.046
0.122,0.145,0.035
0.115,0.149,0.061
0.126,0.152,0.038
0.119,0.145,0.05
0.118,0.161,0.054
0.115,0.163,0.049
0.122,0.144,0.035
0.122,0.146,0.046
0.1,0.163,0.057
0.114,0.145,0.051
0.118,0.144,0.038
0.119,0.14,0.044
0.11,0.155,0.055
0.113,0.157,0.055
0.124,0.149,0.038
0.117,0.152,0.04
0.109,0.163,0.045
0.113,0.159,0.05
0.108,0.163,0.047
0.114,0.155,0.052
0.12,0.148,0.039
0.116,0.141,0.048
0.116,0.156,0.057
0.121,0.148,0.052
0.11,0.155,0.051
0.115,0.141,0.053
0.116,0.154,0.064
0.105,0.163,0.06
0.112,0.163,0.05
0.126,0.148,0.041
0.116,0.149,0.057
0.113,0.155,0.052
0.109,0.167,0.043
0.126,0.154,0.065
0.117,0.153,0.039
0.125,0.151,0.036
0.121,0.147,0.032
0.114,0.154,0.051
0.111,0.165,0.05
0.119,0.147,0.035
0.116,0.151,0.061
0.116,0.145,0.049
0.107,0.163,0.041
0.1,0.164,0.045
0.114,0.155,0.057
0.111,0.144,0.052
0.115,0.151,0.051
0.125,0.149,0.058
0.109,0.163,0.044
0.115,0.155,0.056
0.119,0.152,0.034
0.106,0.163,0.05
0.117,0.146,0.054
0.125,0.151,0.035
0.12,0.139,0.037
0.12,0.139,0.033
0.117,0.159,0.057
0.117,0.154,0.052
0.118,0.152,0.028
0.111,0.16,0.051
0.121,0.14,0.049
0.118,0.148,0.035
0.099,0.163,0.059
0.111,0.146,0.053
0.106,0.163,0.045
0.113,0.156,0.052
0.112,0.162,0.05
0.111,0.159,0.046
0.104,0.168,0.062
0.113,0.164,0.054
0.119,0.148,0.056
0.121,0.148,0.036
0.127,0.154,0.065
0.124,0.143,0.038
0.113,0.159,0.052
0.118,0.145,0.056
0.122,0.144,0.045
0.118,0.153,0.04
0.123,0.148,0.038
0.122,0.14,0.04
0.12,0.141,0.054
0.107,0.165,0.038
0.111,0.159,0.05
0.121,0.151,0.058
0.111,0.15,0.051
0.123,0.144,0.049
0.111,0.155,0.049
0.111,0.154,0.051
0.124,0.147,0.034
0.118,0.152,0.036
0.11,0.158,0.05
0.12,0.15,0.036
0.113,0.151,0.038
0.11,0.159,0.055
0.118,0.155,0.037
0.125,0.154,0.061
0.117,0.149,0.053
0.111,0.163,0.047
0.124,0.155,0.063
0.119,0.144,0.049
0.127,0.152,0.042
0.112,0.153,0.052
0.12,0.151,0.034
0.124,0.154,0.065
0.099,0.16,0.063
0.109,0.158,0.046
0.107,0.16,0.049
0.116,0.149,0.03
0.121,0.153,0.03
0.116,0.154,0.041
0.114,0.152,0.06
0.115,0.155,0.06
0.1,0.164,0.057
0.117,0.154,0.037
0.103,0.16,0.046
0.115,0.155,0.052
0.11,0.159,0.054
0.116,0.154,0.059
0.111,0.162,0.052
0.114,0.153,0.036
0.111,0.161,0.052
0.112,0.156,0.062
0.109,0.163,0.053
0.119,0.149,0.037
0.126,0.141,0.035
0.122,0.15,0.034
0.114,0.158,0.056
0.101,0.164,0.064
0.125,0.153,0.06
0.121,0.144,0.035
0.121,0.151,0.039
0.119,0.157,0.06
0.108,0.16,0.054
0.118,0.144,0.053
0.108,0.161,0.056
0.111,0.154,0.048
0.126,0.15,0.059
0.122,0.146,0.033
0.114,0.156,0.061
0.111,0.162,0.052
0.11,0.159,0.044
0.115,0.155,0.04
0.104,0.16,0.042
0.124,0.15,0.035
0.098,0.158,0.04
0.117,0.148,0.054
0.112,0.158,0.051
0.105,0.158,0.043
0.126,0.155,0.063
0.114,0.152,0.041
0.117,0.145,0.051
0.103,0.161,0.068
0.11,0.156,0.047
0.129,0.147,0.038
0.115,0.148,0.039
0.111,0.163,0.042
0.114,0.141,0.05
0.117,0.153,0.039
0.109,0.155,0.04
0.112,0.16,0.051
0.117,0.147,0.063
0.123,0.154,0.036
0.11,0.158,0.049
0.122,0.148,0.036
0.121,0.151,0.035
0.125,0.151,0.034
0.113,0.158,0.054
0.113,0.153,0.064
0.117,0.148,0.036
0.129,0.145,0.035
0.104,0.162,0.062
0.123,0.149,0.036
0.118,0.146,0.052
0.119,0.154,0.039
0.111,0.158,0.058
0.118,0.154,0.061
0.118,0.156,0.051
0.105,0.159,0.045
0.124,0.152,0.042
0.113,0.159,0.05
0.109,0.159,0.05
0.114,0.146,0.05
0.125,0.15,0.036
0.118,0.148,0.038
0.109,0.143,0.047
0.123,0.147,0.038
0.113,0.163,0.051
0.101,0.165,0.061
0.108,0.166,0.04
0.116,0.145,0.049
0.111,0.163,0.038
0.118,0.149,0.051
0.107,0.158,0.049
0.111,0.165,0.049
0.109,0.161,0.04
0.118,0.147,0.037
0.126,0.144,0.039
0.116,0.151,0.035
0.115,0.142,0.054
0.121,0.149,0.067
0.121,0.148,0.038
0.119,0.145,0.053
0.11,0.16,0.049
0.11,0.147,0.046
0.122,0.153,0.061
0.116,0.15,0.061
0.101,0.155,0.06
0.108,0.168,0.044
0.12,0.153,0.055
0.116,0.153,0.054
0.118,0.144,0.05
0.126,0.151,0.034
0.12,0.144,0.048
0.121,0.145,0.03
0.108,0.161,0.045
0.1,0.162,0.057
0.119,0.147,0.049
0.129,0.153,0.061
0.128,0.151,0.063
0.113,0.159,0.049
0.115,0.146,0.048
0.116,0.151,0.053
0.113,0.16,0.053
0.114,0.149,0.033
0.104,0.159,0.063
0.1,0.16,0.062
0.103,0.171,0.043
0.118,0.153,0.039
0.12,0.145,0.037
0.124,0.154,0.036
0.112,0.161,0.048
0.112,0.155,0.057
0.11,0.152,0.051
0.114,0.146,0.056
0.107,0.164,0.047
0.121,0.148,0.058
0.116,0.143,0.053
0.12,0.146,0.032
0.118,0.152,0.046
0.116,0.15,0.051
0.122,0.153,0.034
0.102,0.16,0.045
0.118,0.149,0.037
0.115,0.154,0.035
0.124,0.141,0.034
0.107,0.159,0.043
0.126,0.154,0.062
0.117,0.157,0.054
0.129,0.153,0.064
0.11,0.162,0.046
0.126,0.15,0.037
0.108,0.163,0.047
0.115,0.156,0.044
0.108,0.156,0.05
0.111,0.163,0.036
0.106,0.16,0.047
0.123,0.148,0.027
0.122,0.153,0.037
0.113,0.16,0.051
0.107,0.156,0.056
0.117,0.145,0.049
0.12,0.145,0.036
0.118,0.14,0.048
0.119,0.146,0.035
0.098,0.16,0.063
0.127,0.146,0.037
0.113,0.148,0.049
0.115,0.156,0.039
0.124,0.151,0.064
0.11,0.163,0.047
0.112,0.161,0.057
0.12,0.145,0.054
0.108,0.157,0.046
0.125,0.148,0.035
0.102,0.165,0.061
0.112,0.161,0.051
0.129,0.147,0.062
0.104,0.16,0.06
0.118,0.151,0.051
0.116,0.158,0.04
0.119,0.148,0.049
0.101,0.159,0.044
0.111,0.164,0.041
0.116,0.145,0.049
0.124,0.151,0.03
0.103,0.166,0.061
0.116,0.144,0.047
0.119,0.157,0.067
0.122,0.151,0.044
0.121,0.149,0.038
0.118,0.155,0.048
0.118,0.151,0.033
0.123,0.152,0.036
0.12,0.157,0.06
0.117,0.161,0.052
0.109,0.159,0.055
0.114,0.158,0.055
0.12,0.146,0.029
0.127,0.151,0.06
0.121,0.147,0.035
0.115,0.149,0.057
0.117,0.147,0.05
0.122,0.15,0.052
0.112,0.16,0.052
0.115,0.158,0.05
0.107,0.162,0.061
0.109,0.155,0.054
0.116,0.156,0.06
0.123,0.155,0.035
0.119,0.153,0.059
0.121,0.147,0.042
0.126,0.154,0.062
0.114,0.156,0.059
0.113,0.144,0.049
0.12,0.142,0.037
0.11,0.15,0.036
0.114,0.141,0.053
0.113,0.145,0.054
0.102,0.16,0.059
0.106,0.16,0.051
0.117,0.142,0.053
0.113,0.16,0.036
0.102,0.165,0.042
0.115,0.157,0.06
0.117,0.162,0.051
0.111,0.158,0.063
0.121,0.16,0.06
0.118,0.146,0.036
0.11,0.142,0.05
0.113,0.157,0.047
0.127,0.151,0.066
0.113,0.165,0.049
0.108,0.157,0.054
0.105,0.167,0.042
0.108,0.152,0.061
0.125,0.153,0.065
0.108,0.16,0.049
0.12,0.143,0.032
0.115,0.157,0.056
0.12,0.152,0.058
0.103,0.164,0.065
0.122,0.155,0.061
0.117,0.148,0.054
0.115,0.154,0.053
0.117,0.145,0.051
0.121,0.15,0.055
0.109,0.162,0.054
0.12,0.147,0.033
0.11,0.157,0.054
0.113,0.152,0.058
0.124,0.149,0.054
0.113,0.156,0.063
0.118,0.153,0.062
0.122,0.151,0.034
0.105,0.161,0.042
0.114,0.152,0.061
0.101,0.162,0.058
0.116,0.152,0.039
0.117,0.142,0.052
0.122,0.143,0.038
0.1,0.16,0.06
0.11,0.155,0.052
0.115,0.155,0.053
0.111,0.158,0.05
0.109,0.156,0.062
0.122,0.145,0.049
0.11,0.161,0.054
0.106,0.159,0.051
0.107,0.153,0.053
0.107,0.158,0.054
0.12,0.144,0.036
0.123,0.14,0.03
0.113,0.157,0.051
0.127,0.151,0.063
0.116,0.151,0.04
0.109,0.143,0.043
0.124,0.151,0.035
0.113,0.161,0.042
0.11,0.16,0.041
0.115,0.157,0.044
0.127,0.152,0.062
0.123,0.152,0.037
0.113,0.162,0.049
0.112,0.152,0.058
0.099,0.156,0.058
0.117,0.144,0.031
0.121,0.149,0.042
0.115,0.152,0.055
0.123,0.145,0.039
0.109,0.16,0.051
0.116,0.155,0.054
0.115,0.148,0.05
0.12,0.148,0.067
0.103,0.162,0.055
0.117,0.15,0.033
0.114,0.144,0.056
0.12,0.152,0.036
0.125,0.156,0.064
0.128,0.155,0.061
0.123,0.149,0.037
0.109,0.159,0.038
0.117,0.154,0.063
0.114,0.15,0.052
0.125,0.145,0.049
0.118,0.154,0.041
0.116,0.152,0.039
0.108,0.158,0.048
0.107,0.165,0.053
0.125,0.158,0.069
0.119,0.146,0.04
0.127,0.148,0.04
0.126,0.155,0.056
0.112,0.147,0.051
0.105,0.161,0.041
0.115,0.148,0.054
0.119,0.146,0.033
0.125,0.155,0.061
0.119,0.149,0.038
0.101,0.162,0.062
0.122,0.148,0.039
0.117,0.153,0.036
0.108,0.159,0.048
0.124,0.147,0.032
0.11,0.163,0.049
0.108,0.155,0.04
0.117,0.145,0.056
0.116,0.142,0.052
0.114,0.153,0.041
0.118,0.152,0.04
0.122,0.144,0.034
0.118,0.141,0.049
0.114,0.161,0.047
0.115,0.148,0.054
0.11,0.162,0.045
0.122,0.154,0.064
0.126,0.153,0.058
0.129,0.153,0.06
0.108,0.163,0.044
0.125,0.139,0.032
0.116,0.145,0.051
0.118,0.151,0.042
0.123,0.154,0.059
0.126,0.15,0.064
0.118,0.143,0.051
0.114,0.153,0.041
0.109,0.157,0.053
0.105,0.155,0.051
0.116,0.157,0.053
0.115,0.142,0.056
0.099,0.163,0.062
0.109,0.157,0.047
0.121,0.155,0.036
0.111,0.15,0.051
0.118,0.148,0.047
0.122,0.148,0.036
0.115,0.155,0.053
0.113,0.16,0.049
0.117,0.149,0.051
0.119,0.153,0.034
0.125,0.138,0.034
0.116,0.153,0.047
0.111,0.15,0.044
0.115,0.148,0.04
0.107,0.155,0.048
0.11,0.16,0.051
0.114,0.15,0.055
0.112,0.161,0.05
0.103,0.158,0.043
0.108,0.155,0.051
0.116,0.154,0.051
0.124,0.147,0.038
0.107,0.163,0.049
0.12,0.144,0.033
0.111,0.164,0.052
0.121,0.148,0.036
0.116,0.141,0.051
0.122,0.152,0.037
0.104,0.167,0.045
0.117,0.155,0.035
0.104,0.156,0.043
0.124,0.15,0.036
0.098,0.162,0.057
0.128,0.154,0.064
0.106,0.156,0.057
0.108,0.161,0.045
0.115,0.141,0.049
0.103,0.157,0.052
0.114,0.158,0.057
0.105,0.158,0.054
0.122,0.148,0.035
0.125,0.155,0.033
0.114,0.156,0.051
0.117,0.151,0.037
0.099,0.164,0.061
0.125,0.143,0.032
0.113,0.147,0.052
0.121,0.148,0.049
0.122,0.15,0.038
0.111,0.157,0.06
0.096,0.168,0.064
0.131,0.148,0.035
0.111,0.159,0.052
0.109,0.153,0.049
0.111,0.161,0.049
0.131,0.152,0.065
0.117,0.145,0.052
0.117,0.148,0.055
